iteration,mu_logkn,mu_logatox,sigma_logkn,sigma_logatox,median_ess,median_pct_yr,median_cor_ka,median_kn_sd,n_valid
0,-9.1142010011686,-10.7536535731889,1.4654651748480225,1.9178603997973804,45232.24481875216,1.5673778000138028,-0.11993549135934929,1.4391729309603662,2118
1,-9.008028057173268,-10.572504856371033,1.424278541435,1.8241541967770794,43379.04166455683,2.047537144707423,-0.1850911666259348,1.3761852843903477,2118
2,-8.922461810760927,-10.431431045506246,1.3763759008480394,1.7231742390298024,41879.04275488484,2.720697744325662,-0.22672623871725145,1.3162089093189246,2118
3,-8.85995597328914,-10.332161819985053,1.3259495182136158,1.6230418333794068,40865.82353504656,3.397311891835214,-0.2515021946704208,1.2607566766952205,2118
4,-8.813492092534545,-10.26242607340567,1.2751061366403817,1.5289449087815967,40424.50383857172,3.9802979844629496,-0.2658744926774843,1.2092654450655083,2118
5,-8.778259332674644,-10.211640633835758,1.2254835499502201,1.4423173318705906,40201.56174540396,4.460821746546001,-0.27206859549056167,1.1583204991117653,2118
6,-8.75070148618702,-10.173041287494192,1.1781666945831522,1.363983038524613,40151.144293201345,4.848308970565569,-0.2697370237817747,1.1082695576584327,2118
7,-8.727823302304161,-10.14285143827071,1.1334050854887578,1.2940458809184232,40226.98171630259,5.171932281715918,-0.26955397280366533,1.0648004345985416,2118
8,-8.708722429076486,-10.118353722323132,1.0913888908472624,1.2312214346278283,40407.866655641046,5.4420670978133305,-0.2709895407314485,1.02252757789198,2118
9,-8.691987932644054,-10.097540916065206,1.0526896765901093,1.1754069463555918,40671.38156274825,5.681263934042607,-0.27195181927108003,0.9848259678255975,2118
10,-8.677806365683942,-10.079619106730357,1.01705268663195,1.125546690813684,40849.245656989166,5.888728231292956,-0.26318038606435135,0.9498760233911807,2118
11,-8.665038600709476,-10.064290100579942,0.9843633436850133,1.0811217718182995,41023.44424572895,6.073677712160319,-0.2608717483393308,0.9167400142220016,2118
12,-8.65386523895388,-10.050609437450188,0.954567850770303,1.0414096549410792,41279.120390471275,6.240604575117409,-0.2561705361705412,0.885890795103407,2118
13,-8.643773429018859,-10.038525447233221,0.927331247185979,1.0060168159478833,41431.30749879277,6.392677735135733,-0.2536857914498333,0.8632989486202898,2118
14,-8.634635223209301,-10.02770592444697,0.9027163550094593,0.9742700258320047,41694.40831652102,6.530389042941993,-0.24913597208213586,0.8373267660901038,2118
15,-8.626301850219338,-10.018213205505344,0.8802165435297753,0.9459561122911735,41834.0874348558,6.6543030611011025,-0.2453036995115483,0.8157510886428858,2118
16,-8.619094611439891,-10.00938961202049,0.8597990248196398,0.9206846763208733,42017.177993993806,6.772086101753838,-0.24507200892042447,0.7965617702507674,2118
