iteration,mu_logkn,mu_logatox,sigma_logkn,sigma_logatox,median_ess,median_pct_yr,median_cor_ka,median_kn_sd,n_valid
0,-8.461933859378734,-10.589877928188386,2.2277123677573396,2.0177044142951313,8724.658587348842,3.664325786796019,-0.24261575068806732,1.055333142633972,357
1,-7.932892096130998,-10.8181213845026,2.4631247869304462,1.9844651473182462,18189.067272428336,4.591925739140878,-0.4213541014223593,1.6340804508249773,357
2,-7.548555696942733,-11.144032992139776,2.4771525040747653,2.0069835920910073,14105.657906832277,6.017266047518055,-0.47289484707283624,1.6736586381829301,357
3,-7.212208041950262,-11.390403493312194,2.368461889991125,2.0035044240991,9399.377111014814,6.540433075828201,-0.5231683733381463,1.5465358239708296,357
4,-6.965696994831467,-11.619665462259903,2.2473305673663435,1.9259836667998762,10300.320138167648,7.040729496597187,-0.5227708168503519,1.5128116025548155,357
5,-6.751277046251727,-11.833879242192038,2.12450050552779,1.8400470068756662,10819.381103976326,7.102916580964935,-0.5093696390078247,1.4421874286395409,357
6,-6.555569745653522,-12.00690572558389,2.0062264925887057,1.7559035504050173,10973.419968234159,7.119267289350761,-0.5195021415275851,1.3571964584578442,357
7,-6.383015289291566,-12.17303054214564,1.8978864489105975,1.6857597654746488,11426.522119778658,7.27785621632867,-0.5184118016220965,1.2924456475427393,357
8,-6.221515605648431,-12.304444714079052,1.7964777385533364,1.6140781037838816,10840.42719103409,7.389682330001557,-0.5383509930731697,1.2194136053000688,357
9,-6.083417779526937,-12.415781833674515,1.705626991382091,1.526716227248531,11237.856015057909,7.56892384434823,-0.5401471356250953,1.1588061149293887,357
10,-5.969232693447397,-12.522076105894268,1.630612916646932,1.4613056779464895,12467.460859415616,7.7262724429495115,-0.5237645797814257,1.1050810268116418,357
11,-5.863714519332608,-12.60561442288083,1.5623692249026744,1.395450592690685,12604.182051022202,7.817638565194185,-0.532729215053517,1.0559794233249378,357
12,-5.776385341635807,-12.684118643517243,1.5067337329836437,1.3363160972897217,13426.885966649155,7.974203189870144,-0.5174479771891549,1.017675053386085,357
13,-5.700378277982802,-12.742129399596344,1.458708850382888,1.2940103589110195,14006.894729996318,8.00823991145262,-0.5212513027574616,0.9805370163437507,357
14,-5.6356746143564616,-12.804718696119563,1.4154529355419063,1.2473367673066815,14314.67152992413,8.140048581731707,-0.5169691137293582,0.9529657391678139,357
15,-5.5764825571734065,-12.861459636690302,1.3784985277205353,1.2140772179528474,14425.313124587023,8.11654584799294,-0.5212671858320633,0.9190729983875908,357
16,-5.522795471957526,-12.9235961769134,1.346170348967676,1.183905658410692,14455.198652647376,8.153853042715253,-0.5291784559524857,0.8931919014814245,357
17,-5.464552622807239,-12.955407097363052,1.313039988401266,1.1578499204368082,12904.720710783718,8.160966812210136,-0.5618718267251717,0.8569225989783151,357
18,-5.426968370663831,-12.998928708590299,1.2909632544629563,1.1353714609838113,14538.680741620272,8.239703198884484,-0.5356356488967187,0.8503387225927724,357
19,-5.391844394113527,-13.030899196553674,1.2720754033182278,1.115596524581423,14236.608520462383,8.31250652717116,-0.5375275340480273,0.835096218216929,357
20,-5.360054432594712,-13.05579690957823,1.2530245666489948,1.0918080928560525,14500.663557171545,8.315254539424533,-0.5250507918889381,0.8221415278921683,357
21,-5.331933131942509,-13.082737856301213,1.23683060895654,1.075187580784578,14250.953213313027,8.335367222368639,-0.5370524028524277,0.8051859109272039,357
