iteration,mu_logkn,mu_logatox,sigma_logkn,sigma_logatox,median_ess,median_pct_yr,median_cor_ka,median_kn_sd,n_valid
0,-9.610624747416745,-10.733319180812884,2.468696428180384,2.2026805542811125,40131.39374378031,1.5605568537094106,-0.005071648671584508,1.3853740968179207,2118
1,-10.00137779461009,-10.635024106107924,2.9307045050693397,2.43276031882744,39934.95678394464,1.263418489093876,-0.005247700773825989,2.1650691922346987,2118
2,-10.293404054112889,-10.466261769374524,3.1738499136145557,2.702772949187227,38565.97465650815,0.9461508613765768,-0.005419228896186505,2.5239223615653783,2118
3,-10.516802743968418,-10.253899070125508,3.310898269777213,2.960403994070935,37354.42078710339,0.8368779967643791,-0.006581889074607585,2.7182469322865197,2118
4,-10.692350757483734,-10.02397726644985,3.388668786251126,3.181256292111536,36206.68984041321,0.8289596347109351,-0.005821355042218585,2.831967219692137,2118
5,-10.839988145027709,-9.814165265021368,3.4348333341779056,3.343244733288993,35348.200624260004,0.8774048614898389,-0.0062048645725396616,2.9056189292109424,2118
6,-10.947688171858253,-9.582759513144337,3.461507388885852,3.463903541163421,34082.206886200256,0.9340901670360002,-0.0072185600103181775,2.9434132522342615,2118
7,-11.04790271630167,-9.401059236042673,3.4774763681732956,3.5379223377917555,33521.58000499219,1.057068751176865,-0.005984678816724821,2.971163103493937,2118
8,-11.135955691022192,-9.255620173268884,3.4872425670010867,3.5864074625495332,33084.60575247517,1.1442420601276537,-0.006190718429513153,2.9854391269004474,2118
9,-11.215129553359285,-9.153316914061483,3.4960482281209697,3.610053364305416,33024.529719726925,1.214534870251771,-0.007395645809504982,2.9987147906409883,2118
10,-11.285289017309337,-9.092680773529537,3.504046466145862,3.6268145518866235,33092.256506655074,1.2385566379729873,-0.006924850750781222,3.014341783708209,2118
11,-11.326814301743134,-9.003219786650094,3.5090682486359257,3.626556444043782,32728.113806274207,1.2293205489812609,-0.00648640906340598,3.0141038568047573,2118
12,-11.370564662121819,-8.95133055112133,3.5135490055675227,3.6320965366299927,32765.01032712102,1.286176633981917,-0.006720415379447861,3.018787943743913,2118
13,-11.409479320187204,-8.922877897690437,3.517673758648329,3.6272239161139392,32904.60979406853,1.2962761975198134,-0.006570405831651031,3.0226544903236436,2118
14,-11.430312185030468,-8.868343806308395,3.5200398925748795,3.614812224229895,32724.014522211655,1.2839038687620985,-0.006825797649507019,3.0249080986535724,2118
15,-11.451223808484432,-8.83345500923625,3.5220873049308223,3.6172932695518356,32659.375629971015,1.3268680167585645,-0.00599608591421723,3.023024052401569,2118
16,-11.474343112728821,-8.80927114278249,3.5236567609645673,3.6047281015657235,32803.030845188536,1.3448347692593843,-0.006916953860746715,3.025840437200208,2118
17,-11.486904126768932,-8.780308805899544,3.525065210106139,3.604048936083843,32657.06482096936,1.3475825571668598,-0.006873284161375471,3.021851380426545,2118
18,-11.49945739157943,-8.753658595162324,3.526339638143183,3.591951555357314,32622.859180943728,1.3687691347490094,-0.007474153852861734,3.0224157111916816,2118
19,-11.514825904291822,-8.750486476533716,3.5276399216235963,3.586271204212491,32837.51136145921,1.3892125746959527,-0.006577160056740087,3.0265878412069624,2118
20,-11.52733145214897,-8.753862243471088,3.529114788613471,3.5843110734729815,32922.165287333606,1.3695050013991794,-0.007660234505167961,3.03091782123425,2118
21,-11.527532848421929,-8.735100651695886,3.529353153270379,3.5764983673739237,32777.05783012059,1.3530061006748084,-0.007063573945869783,3.0228685702898916,2118
22,-11.528545647621364,-8.723090300563863,3.5294423479700163,3.5790766998839456,32655.69755143296,1.374968247226327,-0.006318761431446019,3.0224804384446493,2118
23,-11.511920154424326,-8.663347620533456,3.5247150895668313,3.577511793513804,32045.10978127703,1.3916943542033933,-0.008517410801342641,3.011605461904855,2118
24,-11.517294481612597,-8.651169858557983,3.5232711772420258,3.566998077333272,32085.322814547806,1.5012217320836685,-0.00654541095624728,3.0078612638709235,2118
25,-11.526556723571256,-8.644539559214362,3.5227238510137164,3.5509411933050914,32199.701185461126,1.509902268637392,-0.0071107097010275015,3.0097047218807313,2118
26,-11.535042254598267,-8.631916172434233,3.522718975612721,3.5477216933780786,32314.446643616335,1.5083412722838418,-0.006612012716501499,3.0066868038338432,2118
27,-11.542079194752306,-8.6230165529481,3.5232103634656804,3.538222701522685,32283.10456087462,1.5122191415014696,-0.007696622727760958,3.00604541436016,2118
28,-11.554038786919579,-8.643543494722206,3.523694769374185,3.53608757154614,32605.60586900506,1.5139502751755851,-0.0062666258211407574,3.010700943041391,2118
29,-11.551509171583332,-8.639706597136039,3.523493318010672,3.539403467211387,32304.461360158813,1.4666796094788659,-0.006081965075286069,3.0098345500064347,2118
30,-11.550566442617352,-8.636755913981418,3.523553458166729,3.5474478251968233,32336.001580905304,1.4778004032938274,-0.006444994741595232,3.0042075892159614,2118
31,-11.551084949004425,-8.641599218418012,3.5244659082100953,3.551970453835583,32290.928698083877,1.4794113460348868,-0.006798779957270394,3.0079484847115303,2118
32,-11.54956537566808,-8.633793068981282,3.5252041131705174,3.5591844996627375,32258.20714171033,1.4761259257856874,-0.006643349072424251,3.008702149451686,2118
33,-11.545020847195639,-8.626976496199088,3.5235456632774853,3.561519959337745,32116.881833476204,1.488989024402082,-0.006294158236751206,3.009934230061144,2118
34,-11.543345723110603,-8.61846788306674,3.522784824530894,3.5641603992645465,32086.430717798692,1.5044878454339716,-0.005985841176627945,3.0079276256737892,2118
35,-11.54208123361517,-8.612442471093884,3.522474341616549,3.565681156147777,32136.298856861264,1.5211375643765734,-0.006436318336945832,3.0052407665092993,2118
36,-11.545889407908389,-8.61748744978696,3.5233391322418997,3.5617218631861984,32120.021125500767,1.5331565293848215,-0.006985008172352029,3.008518190650554,2118
37,-11.548301897218428,-8.601568216043457,3.5237295255587004,3.5376045816033193,32136.889812305704,1.5204630322523671,-0.007255884432588946,3.0084935881867327,2118
38,-11.562822321919576,-8.630480781075121,3.5244390341189598,3.5352140910228416,32620.157079250126,1.5393981450883998,-0.00730592599711581,3.0084137090693126,2118
39,-11.557764077738758,-8.626508565303663,3.523858898618304,3.534643864760206,32349.58562562666,1.4762267666599271,-0.006909876823353484,3.0083925640092257,2118
40,-11.555010961653,-8.628485308377035,3.524208955791345,3.5356418796075597,32332.45784558419,1.4906274618718796,-0.006695464558925349,3.0053587502911343,2118
41,-11.550963052718744,-8.626302252063024,3.523297412681804,3.5368482230868623,32308.674603344087,1.4876117821022383,-0.007124828295563463,3.005174942346732,2118
42,-11.54555413696996,-8.624152279589508,3.5216665968851353,3.5582243143397663,32116.73808117289,1.5005360951284519,-0.00754970922888254,3.003678255820989,2118
43,-11.54281281432346,-8.612336467987857,3.5209506596200635,3.5508799018859802,32079.692155723307,1.5092280023136395,-0.007204215411829128,3.0031777708413854,2118
44,-11.545791660691727,-8.609753399335322,3.5207604060126663,3.5471724479768967,32072.20826570244,1.532506301245562,-0.006854559342574817,3.0045790506458694,2118
45,-11.55335319776684,-8.619026221074709,3.5219854329903657,3.543629972482266,32402.459075110375,1.5312507067267778,-0.006713385492141462,3.0074280050207713,2118
46,-11.55592911539891,-8.623165461816619,3.523131098713813,3.5539379947592593,32364.983775529865,1.5057780782726127,-0.006291653372478298,3.005394312515123,2118
47,-11.549354125508637,-8.605402615737997,3.522281459961794,3.5439893675297105,32037.572653177278,1.4973941344195218,-0.007504980900913056,3.0081092689681546,2118
48,-11.549009737314345,-8.60233112742673,3.5225604999924993,3.5361967772152543,32055.044245789817,1.5315250739408648,-0.006253960011992289,3.0010643679302698,2118
49,-11.537202435566298,-8.575159124102392,3.5199484234286085,3.5308112839420867,31754.690944005924,1.540103836495177,-0.006434067255235829,2.997952741268816,2118
50,-11.5475697819871,-8.582054826561128,3.520665042545555,3.530006443161511,32046.22798488476,1.595910068748374,-0.0075528055900467754,3.002255205322249,2118
51,-11.555820643550659,-8.602570731888811,3.521732549731451,3.545107279099131,32239.35291880559,1.5694814448755812,-0.006800764108409527,3.003744152509688,2118
52,-11.54477520038059,-8.588272218133888,3.519684641355579,3.5611945823061,31881.34441247618,1.5275112577182226,-0.0073247612582534065,2.9970169491893532,2118
53,-11.548859112383829,-8.591683685622332,3.520174617568029,3.5610572379282934,31991.271739679112,1.5672188890701044,-0.007842907203550287,3.0035663309586798,2118
54,-11.5585752360213,-8.60691046540942,3.5226723154450217,3.556622563863311,32339.361308267842,1.5522970755385335,-0.0068841775926277,3.008600598918577,2118
55,-11.565146089509032,-8.626045923503895,3.5250470551356714,3.564990817397241,32505.17413949845,1.5147743474714592,-0.006424450770056107,3.0100348876727954,2118
56,-11.559306832499665,-8.623529837422927,3.5254649779942953,3.5532946838318122,32307.053810749407,1.480114795004528,-0.007450624308235952,3.011711988056943,2118
57,-11.557452067368153,-8.619764612096642,3.5257239387859034,3.5541232983571076,32282.36558122292,1.4873333981910541,-0.0067303487530769954,3.008786699391825,2118
58,-11.559719887423642,-8.62945977020527,3.5266409131844303,3.5555352119990102,32378.922144848882,1.498898876652499,-0.007237133995738334,3.0101360670877817,2118
59,-11.567003681167643,-8.639819992477639,3.528009941269935,3.544581774461266,32660.411298312887,1.4778095393102764,-0.006779615790454762,3.0172079224390256,2118
60,-11.565067368779275,-8.657696088469287,3.5286525204203434,3.5517276989723374,32565.051457087273,1.4538536337606378,-0.006179091948909079,3.0155189296982616,2118
61,-11.551840919591708,-8.633482552638993,3.5271598846899157,3.543924046505939,32318.717069764076,1.4306886744263503,-0.0075648731408763355,3.0091722274619057,2118
62,-11.542734494742433,-8.619501968877533,3.5248249551440627,3.5405401591059644,32082.593015393817,1.4851568872029042,-0.007517085610595979,3.0073937588776785,2118
63,-11.542442640217425,-8.614998059450418,3.522983475190457,3.5464610737639917,32101.23004095727,1.5224840159712372,-0.007147012170911907,3.003682448261606,2118
64,-11.539793925962506,-8.610540958878325,3.5216903536681494,3.546188095102018,32013.663105170504,1.5292248063534963,-0.0067909260806739875,3.0018853633754574,2118
65,-11.539284406188209,-8.600474972889355,3.521198547596195,3.535513685815387,31982.845596984356,1.5399015169222152,-0.007361565015302198,3.002394004949543,2118
66,-11.54367520979219,-8.590739833666442,3.5199727233273954,3.529146777260023,32101.34269168659,1.5551985767792653,-0.007126169440872668,2.9998714796401083,2118
67,-11.55043568812572,-8.596671211195147,3.520666991918691,3.5219997871535553,32208.47161374783,1.563247508418103,-0.007284631653613443,2.9979689061327646,2118
68,-11.55319561443737,-8.59972546625905,3.5202708398759093,3.513772609986883,32203.622479855272,1.5414350090162898,-0.007391769667110243,2.998178958290475,2118
69,-11.557592931907738,-8.606982043067944,3.520228237948173,3.5152012175094827,32348.797046073618,1.5334311047182136,-0.005956323228504008,2.999702523596514,2118
70,-11.560453362109069,-8.615672027628742,3.5221450113543136,3.5079640790748874,32448.323032233908,1.5183757530410014,-0.007033753971845788,3.001793762100366,2118
71,-11.558841656126187,-8.605466274943156,3.5222116717626877,3.5004537156618483,32396.290366176574,1.4985937976882413,-0.006465752921550532,3.002706053141419,2118
72,-11.560431285927933,-8.608653278443455,3.522242166906741,3.504489704213417,32436.317885321267,1.5158939081945488,-0.006714357636727129,2.999915604528824,2118
73,-11.56264402000139,-8.609022841744272,3.5232869008189374,3.502267208558142,32498.8650637534,1.5085353023923997,-0.007040873838705988,3.0012248491696694,2118
74,-11.563087063421273,-8.60314298598842,3.5233880623864233,3.4982387172657323,32438.518808141678,1.5078183097675335,-0.006024291111430094,3.001271726311066,2118
75,-11.563352945190026,-8.609260440339922,3.522819825210929,3.5169685243664186,32421.111627157043,1.5161576913982566,-0.007115396900796378,3.001765122712163,2118
76,-11.565389944761927,-8.615427019195609,3.5237314325496394,3.520492230350976,32608.477745744694,1.5035322846409016,-0.0061401834573155695,3.0069646648395105,2118
77,-11.56576630335861,-8.614797885534202,3.5241147922586955,3.5188034208771275,32577.753777044978,1.4913095576710167,-0.007173578909121035,3.0031124338496364,2118
78,-11.566837357663726,-8.617912855500231,3.524504819487877,3.522751217059916,32678.35973457459,1.4907719320437496,-0.006189557642909344,3.0095197506022857,2118
